"","AL0D_1_GLbulkRNAseq_sub","AL0D_2_GLbulkRNAseq_sub","AL0D_3_GLbulkRNAseq_sub","AL0D_4_GLbulkRNAseq_sub","AL0D_5_GLbulkRNAseq_sub","AL0R_1_GLbulkRNAseq_sub","AL0R_2_GLbulkRNAseq_sub","AL0R_3_GLbulkRNAseq_sub","AL0R_4_GLbulkRNAseq_sub","AL0R_5_GLbulkRNAseq_sub","AL40D_1_GLbulkRNAseq_sub","AL40D_2_GLbulkRNAseq_sub","AL40D_3_GLbulkRNAseq_sub","AL40D_4_GLbulkRNAseq_sub","AL40D_5_GLbulkRNAseq_sub","AL40R_1_GLbulkRNAseq_sub","AL40R_2_GLbulkRNAseq_sub","AL40R_3_GLbulkRNAseq_sub","AL40R_4_GLbulkRNAseq_sub","W0D_1_GLbulkRNAseq_sub","W0D_2_GLbulkRNAseq_sub","W0D_3_GLbulkRNAseq_sub","W0D_4_GLbulkRNAseq_sub","W0D_5_GLbulkRNAseq_sub","W0R_1_GLbulkRNAseq_sub","W0R_2_GLbulkRNAseq_sub","W0R_3_GLbulkRNAseq_sub","W0R_4_GLbulkRNAseq_sub","W0R_5_GLbulkRNAseq_sub","W40D_1_GLbulkRNAseq_sub","W40D_2_GLbulkRNAseq_sub","W40D_3_GLbulkRNAseq_sub","W40D_4_GLbulkRNAseq_sub","W40D_5_GLbulkRNAseq_sub","W40R_1_GLbulkRNAseq_sub","W40R_2_GLbulkRNAseq_sub","W40R_3_GLbulkRNAseq_sub","W40R_4_GLbulkRNAseq_sub","W40R_5_GLbulkRNAseq_sub"
"Bra000029",0,0,0,0,0,0,0,0,11.72,0,0,0,0,0,0,0,0,8.11,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0,4.84,0,5.89,16.43,0,0,6.79
"Bra000030",0,0,0,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000031",27.7,107.19,43.78,65.29,45.58,26.7,0,0,50.27,247.97,0,40.81,62.98,0,0,35.39,61.81,13.74,0,43.82,0,52.63,0,0,28.07,20.5,71.7,60.6,16.28,0,28.05,0,50.56,0,132.93,42.77,49.05,29.93,36.09
"Bra000032",0,0,0,0,0,0,0,169.55,71.48,0,0,0,0,0,0,0,0,0,0,208.7,132.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.91,0,0
"Bra000033",6.81,0,0,0,5.29,0,0,0,2.4,0,0,0,9.64,0,0,0,7,0,4.48,0,0,0,0,0,0,0,0,0,3.64,0,4.32,0,0,0,2.39,0,0,0,0
"Bra000034",14.94,13.95,38.92,0,11.86,0,28.15,34.86,26.64,0,0,0,10.85,14.3,10.35,0,0,3.3,9.96,23.7,0,0,14.68,12.58,0,31.92,12.55,38.43,33.12,69.47,24.24,0,144.9,26.75,32.09,29.83,31.77,53.93,110.57
"Bra000035",5.08,0,7.87,0,0,0,3.16,11.51,3.58,0,0,0,10.72,0,0,4.01,0,5.01,0,8.08,0,0,0,0,2.36,0,4.18,2.14,2.7,0,6.4,19.22,5.82,8.86,1.78,2.48,0,15.18,7.02
"Bra000036",0,43.77,12.03,0,0,0,14.54,36.54,16.54,0,23.79,0,0,0,64.41,19.22,0,34.06,15.5,63.55,16.32,14.4,0,0,22.82,16.73,0,19.91,13.18,31.47,76.25,44.66,27.54,0,0,23.34,30,24.35,29.27
"Bra000037",5.47,24.89,22.61,17.64,12.69,24.19,3.4,4.14,11.55,0,8.31,22.72,23.12,10.13,3.73,4.33,22.38,10.78,10.76,19.57,19.07,20,3.92,4.47,10.2,0,9.01,9.24,8.72,21.01,25.88,31.06,17.25,167.02,1.91,13.35,20.34,10.91,17.3
"Bra000038",32.67,45.92,59.63,36.69,39.04,15.05,10.27,63.78,23.34,32.91,8.4,34.94,47.65,78.52,56.72,0,0,8.07,87.29,6.48,0,50.7,36.29,69.06,39.62,23.36,55.05,21.05,27.33,32.73,15.96,0,38.54,29.36,46.93,21.79,20.93,16.93,20.26
