"","AL0D_1_GLbulkRNAseq_sub","AL0D_2_GLbulkRNAseq_sub","AL0D_3_GLbulkRNAseq_sub","AL0D_4_GLbulkRNAseq_sub","AL0D_5_GLbulkRNAseq_sub","AL0R_1_GLbulkRNAseq_sub","AL0R_2_GLbulkRNAseq_sub","AL0R_3_GLbulkRNAseq_sub","AL0R_4_GLbulkRNAseq_sub","AL0R_5_GLbulkRNAseq_sub","AL40D_1_GLbulkRNAseq_sub","AL40D_2_GLbulkRNAseq_sub","AL40D_3_GLbulkRNAseq_sub","AL40D_4_GLbulkRNAseq_sub","AL40D_5_GLbulkRNAseq_sub","AL40R_1_GLbulkRNAseq_sub","AL40R_2_GLbulkRNAseq_sub","AL40R_3_GLbulkRNAseq_sub","AL40R_4_GLbulkRNAseq_sub","W0D_1_GLbulkRNAseq_sub","W0D_2_GLbulkRNAseq_sub","W0D_3_GLbulkRNAseq_sub","W0D_4_GLbulkRNAseq_sub","W0D_5_GLbulkRNAseq_sub","W0R_1_GLbulkRNAseq_sub","W0R_2_GLbulkRNAseq_sub","W0R_3_GLbulkRNAseq_sub","W0R_4_GLbulkRNAseq_sub","W0R_5_GLbulkRNAseq_sub","W40D_1_GLbulkRNAseq_sub","W40D_2_GLbulkRNAseq_sub","W40D_3_GLbulkRNAseq_sub","W40D_4_GLbulkRNAseq_sub","W40D_5_GLbulkRNAseq_sub","W40R_1_GLbulkRNAseq_sub","W40R_2_GLbulkRNAseq_sub","W40R_3_GLbulkRNAseq_sub","W40R_4_GLbulkRNAseq_sub","W40R_5_GLbulkRNAseq_sub"
"Bra021710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021711",0,0,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0
"Bra021712",0,17.83,0,0,15.16,0,11.92,0,0,0,9.75,27.14,0,0,0,0,0,0,0,14.97,13.38,11.78,0,0,0,27.23,0,0,0,0,6.2,0,5.61,34.21,6.83,28.56,8.13,0,3.95
"Bra021713",0,15.65,0,0,0,15.27,5.32,6.51,0,0,4.34,0,0,0,5.85,0,8.83,0,5.62,3.39,0,0,0,7.04,0,0,0,0,4.6,0,0,0,4.93,0,3.01,4.19,3.56,0,5.12
"Bra021714",0,0,2.5,5.2,0,4.28,0,0,10.22,0,0,0,13.62,0,0,3.82,0,2.39,9.52,5.78,6.75,0,17.34,0,4.51,6.7,7.97,6.13,5.14,12.37,7.63,0,5.55,4.22,0,0,2,4.82,1.91
"Bra021715",10.86,0,0,0,0,0,0,0,3.82,0,2.75,3.76,0,0,3.71,0,16.67,2.68,0,2.16,0,0,0,0,0,3.76,0,0,5.77,3.48,0,10.28,10.9,4.74,5.7,0,2.24,0,7.52
"Bra021716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.94,0,48.6,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03
"Bra021717",0,0,5.79,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86,0,18.54,15.91,7.84,0,28.49,0,7.29,0,0,0,0,31.62,22.04,0,56.69,11.27
"Bra021718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021720",3.99,3.62,6.17,0,3.07,0,0,3,1.4,0,4.03,5.5,2.8,7.35,0,6.28,0,3.93,2.61,6.35,8.33,0,5.7,6.49,3.7,0,3.28,5.04,4.21,7.61,7.52,7.53,6.84,3.47,5.56,1.94,4.92,7.91,12.54
"Bra021721",0,3.88,0,0,0,0,0,0,0,0,2.17,0,0,0,2.92,0,0,2.11,0,0,0,0,0,0,1.99,0,0,1.8,0,0,2.69,0,1.22,0,0,2.08,0,0,5.05
"Bra021722",20.5,19.43,10.73,0,75.54,0,12.96,32.42,16.37,42.87,21.19,29.58,20.21,20.01,57.34,93.69,44.44,0,20.7,32.48,43.63,25.63,15.37,41,10.1,0,0,30.2,34.95,41.77,27.06,39.76,24.45,0,22.31,68.82,0,24.65,47.46
"Bra021723",0,0,0,0,0,0,0,0,10.44,0,0,0,21.85,0,0,12.28,32.18,14.25,19.63,34.08,0,0,0,0,0,0,0,0,0,0,9.73,0,0,0,0,0,0,0,12.53
"Bra021724",20.5,19.43,53.64,23.43,56.66,0,25.91,32.42,57.29,0,10.6,14.79,15.16,20.01,100.35,34.07,0,0,20.7,40.59,0,0,30.75,41,10.1,14.84,52.26,40.72,11.65,83.55,27.06,0,36.68,18.64,22.31,11.9,17.74,10.78,34.52
"Bra021725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,5.76,3.47,0,0,12.66,7.22,0,0,0,0,4.71,0,0,0,0,0,3.08,8.6,3.65,4.41,5.26
"Bra021727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3.09,3.91,0,0,0,2.1,0,5.13,3.58,0,7.33,1.45
"Bra021728",9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021732",0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,0,26.41,17.87,0,0,0,0,0,0,0,0,0,19.79
"Bra021733",18.6,26.95,15.35,23.83,11.45,3.27,9.22,2.8,9.14,0,28.2,12.81,23.45,27.38,22.78,5.85,15.12,18.31,2.43,10.36,23.29,9.04,13.27,18.14,6.89,0,24.43,4.7,3.92,0,21.01,28.08,20.17,16.15,2.59,5.42,12.23,3.69,5.11
"Bra021734",0,0,0,24.71,0,0,0,34.16,0,0,0,0,0,0,0,8.98,0,0,29.03,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0
"Bra021735",0,0,0,0,0,0,8.7,10.75,9.88,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,12.38,0,0,0,0,0
"Bra021736",0,0,0,0,0,0,0,0,5.59,0,8.05,0,11.4,30.06,10.87,6.41,0,0,10.46,6.21,11.06,19.43,23.16,0,7.58,0,13.18,0,17.43,0,5.1,0,18.46,0,0,0,6.68,0,9.69
"Bra021737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021738",0,0,17.06,0,51.59,39.56,0,0,3.88,21.07,0,0,15.7,0,7.54,0,34.32,0,7.25,0,0,0,0,0,0,0,9.13,46.65,5.96,0,0,0,0,0,0,0,0,5.57,0
"Bra021739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.23,0,0,0
"Bra021740",9.76,0,40.5,10.68,15.28,8.77,12.19,14.95,20.74,55.77,4.97,13.67,13.94,0,13.42,11.74,10.15,9.63,25.78,11.63,6.84,5.99,21.27,32.34,9.24,0,0,16.6,26.43,38.11,15.59,0,25.47,0,41.42,4.81,20.43,34.59,23.57
"Bra021741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021743",19.52,17.97,5.06,21.35,0,43.87,12.19,22.43,38.02,27.89,9.95,20.51,34.85,27.51,20.12,19.57,30.44,19.26,25.78,19.38,6.84,29.96,14.18,8.08,13.86,6.84,32.45,20.75,58.15,12.7,18.71,18.6,25.47,8.62,31.06,28.87,49.03,49.41,13.75
"Bra021744",0,0,0,0,0,0,6.17,0,3.5,0,0,0,0,0,0,3.97,0,0,0,3.93,0,0,7.18,8.19,9.37,0,0,4.2,5.36,0,0,0,0,8.73,0,0,4.14,5.01,1.99
"Bra021745",0,0,4.68,9.85,0,8.09,16.9,13.8,6.39,8.55,9.19,6.31,6.43,0,0,0,0,0,5.96,17.93,0,0,0,7.46,0,18.95,0,0,14.63,5.86,5.76,17.19,5.23,7.95,0,4.44,7.54,4.56,7.25
"Bra021746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021748",5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0
"Bra021749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0
"Bra021752",6.54,23.86,67.61,0,121.67,34.83,12.2,4.96,9.22,0,33.16,0,13.86,0,22.34,0,33.56,3.22,12.87,18.19,0,0,4.7,0,0,0,5.4,58.06,3.49,16.8,2.07,24.78,5.64,5.72,4.59,0,5.42,3.27,7.79
"Bra021753",0,36.41,40.78,0,175.43,71.37,16.38,0,37.19,0,20.07,0,66.02,0,27.09,5.3,68.8,0,34.72,0,0,0,0,0,0,0,0,111.7,0,0,0,0,0,0,0,0,0,6.69,0
"Bra021754",0,0,2.23,0,3.33,0,0,0,4.55,3.93,0,0,3.03,0,0,3.4,0,8.51,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,2.15,0
"Bra021755",0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,7.09,0,0,0,0,0,0,5.47,0,2.48,0,3.03,4.22,3.58,0,0
"Bra021756",0,7.18,0,0,0,0,0,0,2.77,0,0,0,0,0,10.74,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.23,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021758",0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,4.67,0,0,0,0,0,0,0,0,0,3.29,0,0,1.33
"Bra021759",0,18.34,0,0,5.19,0,0,5.08,2.36,49.73,3.4,0,0,0,0,7.97,6.88,6.6,0,0,4.67,0,0,0,9.43,4.65,0,2.83,10.73,8.61,0,0,1.93,0,0,0,5.55,0,2.66
"Bra021760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021761",0,4.46,0,0,0,0,0,0,1.73,0,0,0,3.45,0,0,1.94,0,0,3.22,0,3.42,0,0,0,0,0,0,4.15,33.87,6.28,1.55,0,1.41,4.28,0,0,0,2.45,37.79
"Bra021762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,15.23,0,18.25,0,0,0,0
"Bra021763",0,0,7.14,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,0,0,6.59,0,0,11.74,15.12,18.14,13.3,0,0,0,0,6.83,5.81,7.04,2.81
"Bra021764",41.27,124.52,109.97,103.05,352.04,167.7,106.87,277.64,137.27,263.78,21.96,158.09,98.3,43.51,89.56,36.85,436.94,82.18,143.92,16.29,120.07,26.77,131.91,303.08,264.15,285.99,0,221.19,1032.1,91.49,72.75,0,52.22,119.57,157.21,153.41,228.61,257.07,133.1
"Bra021765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0,0,0
"Bra021766",0,13.67,3.87,0,0,0,13.96,0,0,0,3.8,0,5.3,0,0,11.9,0,0,0,2.97,5.22,0,0,6.14,3.51,5.2,0,3.17,0,4.82,11.86,14.19,8.62,6.55,5.26,0,3.11,0,5.96
"Bra021767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021770",0,0,16.53,0,0,0,0,0,0,0,0,23.28,48.01,0,0,13.49,35.4,0,0,24.73,0,0,0,27.79,16.07,23.41,0,371.69,18.7,66.64,138.83,61.79,38.46,0,151.42,32.48,84.04,102.71,27.6
"Bra021771",0,0,0,65.82,45.93,26.91,0,45.14,0,31.28,14.57,0,0,0,0,0,93.45,0,19.03,11.03,39.95,70.7,0,49.01,42.45,41.33,24.08,158.75,16.41,0,28.27,0,16.99,0,51.52,28.73,12.36,75.41,24.26
"Bra021772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021773",0,0,24.7,0,39.84,0,0,0,0,0,0,0,0,0,0,20.96,0,0,32.43,18.21,0,0,37.42,0,0,0,0,41.51,29.47,69.51,0,93.36,0,0,0,0,0,26.55,21.72
"Bra021774",17.61,0,4.56,0,6.87,0,0,0,3.11,0,4.48,0,0,0,6.04,3.52,0,0,0,0,0,0,0,0,4.15,0,7.3,7.47,0,0,2.8,0,7.64,0,0,0,0,0,7.06
"Bra021775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.89,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021776",13.72,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,14.48,0,0,0,0,8.48,0,11.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021777",0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,2.39,2.88,0,0,0,0,0,0,1.86,0,0.89
"Bra021778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021779",0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0
"Bra021780",0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,11.6,9.31,0,0,0,0,10.15,0,3,0,0
"Bra021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,29.82,0,0,0,0,0,0,0,0
"Bra021782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,5.7,0,0,0,6.24,3.81,0,0,0,0,0,0,0,0
"Bra021783",0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0.47,0,0,0
"Bra021784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,2.64,0,0,0,1.53,0,22.47,3.43,0,0,0,0,0,0
"Bra021785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,2.44
"Bra021786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021790",0,0,0,0,0,0,2.99,3.63,1.69,0,0,0,10.14,0,0,0,0,0,0,1.91,0,0,0,0,0,6.65,0,0,0,0,1.51,0,5.51,4.19,0,2.34,1.98,2.39,5.69
"Bra021791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,3.44,0,0,0,0,0,2.39
"Bra021792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021793",0,0,0,0,0,0,0,0,0,0,102.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021794",39.07,24.19,27.09,28.87,20.57,35.56,40.81,10.07,27.79,0,26.66,36.81,18.8,0,9,5.28,27.42,6.43,25.95,10.34,45.8,8.04,19.1,54.49,37.44,36.88,21.8,5.57,14.31,8.59,0,0,3.81,11.6,4.64,0,55.07,6.67,5.31
"Bra021795",21.65,61.76,11.34,24.86,52.52,0,13.7,0,23.37,0,11.21,0,16.07,0,0,0,0,10.71,0,8.57,0,0,0,0,10.72,15.73,0,18.76,12.37,0,35.84,84.14,19.43,0,23.63,10.98,9.4,0,27.47
"Bra021796",0,7.12,0,0,0,0,0,0,0,0,3.95,0,0,0,5.33,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,14.77,0,0,0,0,0,0,0
"Bra021797",5.63,0,0,0,0,0,0,0,0,0,0,0,0,5.21,0,0,0,0,3.69,0,3.93,0,0,0,0,0,0,0,0,0,0,0,1.61,0,1.97,0,0,0,2.23
"Bra021798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,18.85,0,0,0,0,0,4.93,0,0,2.2,0,0,0,0,0,0
"Bra021801",0,0,0,0,0,0,0,0,37.61,0,0,0,0,109.63,110.68,69.54,0,0,35.55,0,0,0,0,0,0,0,0,45.49,0,0,73.1,102.39,65.42,0,0,27.22,47.69,87.93,72.3
"Bra021802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0
"Bra021803",22.65,5.16,5.85,12.19,4.38,0,3.52,0,0,0,2.87,0,0,0,3.87,2.24,5.8,2.79,7.43,4.5,0,0,4.06,0,0,3.92,0,0,0,3.63,0,0,21.12,9.89,1.98,0,9.37,2.83,5.6
"Bra021804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,36.72,0,0,0,0,0,0,0,0,9.17,0,0,0,0
"Bra021808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.83,0,11.37,0
"Bra021809",0,0,28.13,0,0,55.32,68.53,45.29,58.81,0,28.26,0,0,114.84,76.96,97.1,0,0,37.08,41.29,38.52,69.17,43.19,0,58.01,41.45,0,23.71,68.5,80.62,95.66,0,85.58,0,102.04,56.84,74.81,61.33,63.2
"Bra021810",4.09,3.71,19,8.75,12.6,7.2,7.61,12.32,11.5,3.72,16.54,33.84,11.47,3.77,13.92,11.27,4.16,8.06,2.67,17.89,22.78,19.89,37.98,9.98,24.66,2.82,20.16,10.34,0,23.43,30.84,23.17,30.38,17.77,14.27,11.94,10.1,6.09,11.26
"Bra021811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,3.69,0,0,3.57,0,0,2.74,0,0,0,1.48,0,0,2.51,0,2.57,2.04
"Bra021812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021814",0,4.21,2.39,4.97,3.58,4.09,8.63,3.5,3.26,0,2.35,9.6,9.77,4.28,3.16,7.31,9.45,2.28,9.1,9.22,6.46,5.64,3.32,7.56,2.15,9.6,15.25,9.77,2.46,2.96,20.42,0,19.89,16.14,16.19,2.26,5.73,2.3,14.61
"Bra021815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0
"Bra021816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,7.8,0,16.2,0,0,0,0,4.73,0,0,3.56,0,0,0,3.94,16.48,0,0,0
"Bra021818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021819",20.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97,0,0,0,0
"Bra021821",0,0,4.46,9.37,0,7.7,5.37,0,0,0,0,12.02,0,0,11.81,0,0,0,0,0,0,0,0,0,4.06,0,0,10.96,0,0,2.74,0,4.98,7.57,3.03,0,3.59,0,1.72
"Bra021822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021826",0,27.67,23.17,16.55,0,13.59,9.31,23.05,15.86,0,7.61,0,21.52,56.72,41.09,12.09,0,14.65,29.64,29.4,12.21,18.36,10.93,0,21.46,0,0,6.35,8.21,0,24.04,0,47.91,26.54,26.53,29.59,63.04,7.64,24.37
"Bra021827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,1.59,0,0,0,9.78,0,0,0,0,0,2.55,0,0,2.29,0,0,0,0,0,0
"Bra021828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021829",9.62,0,0,0,0,0,0,14.72,0,0,0,0,0,9.03,0,0,0,4.74,6.35,0,0,0,0,0,0,0,0,4.09,0,0,3.07,0,2.79,0,3.4,0,0,4.87,1.93
"Bra021830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021831",3.63,9.87,1.87,0,0,3.19,4.5,5.46,6.38,3.29,1.84,2.5,5.09,0,2.47,1.43,0,1.79,0,1.44,2.53,0,2.59,2.95,0,2.5,0,4.59,3.83,0,0,6.85,5.18,3.15,3.8,1.76,1.49,0,2.14
"Bra021832",132.41,0,0,91.35,0,220.38,44.03,59.28,50.52,106.75,0,163.5,0,0,49.76,96.86,85,0,47.81,26.2,0,0,113.85,0,38.41,0,61.02,0,0,53.63,101.73,0,136.08,0,0,0,32.84,80.77,17.01
"Bra021833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021837",0,8.96,0,0,0,0,0,0,10.34,0,4.96,0,6.95,9.15,0,0,0,0,6.43,7.73,0,5.98,7.07,16.13,4.61,13.65,8.09,0,10.55,25.34,3.11,0,14.11,0,0,0,4.08,4.93,3.92
"Bra021838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra021839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
