,AL0D_1_GLbulkRNAseq_sub,AL0D_2_GLbulkRNAseq_sub,AL0D_3_GLbulkRNAseq_sub,AL0D_5_GLbulkRNAseq_sub,AL0R_1_GLbulkRNAseq_sub,AL0R_2_GLbulkRNAseq_sub,AL0R_3_GLbulkRNAseq_sub,AL0R_4_GLbulkRNAseq_sub,AL40D_1_GLbulkRNAseq_sub,AL40D_2_GLbulkRNAseq_sub,AL40D_3_GLbulkRNAseq_sub,AL40D_5_GLbulkRNAseq_sub,AL40R_1_GLbulkRNAseq_sub,AL40R_2_GLbulkRNAseq_sub,AL40R_3_GLbulkRNAseq_sub,AL40R_4_GLbulkRNAseq_sub,W0D_1_GLbulkRNAseq_sub,W0D_2_GLbulkRNAseq_sub,W0D_3_GLbulkRNAseq_sub,W0D_4_GLbulkRNAseq_sub,W0R_1_GLbulkRNAseq_sub,W0R_2_GLbulkRNAseq_sub,W0R_3_GLbulkRNAseq_sub,W0R_5_GLbulkRNAseq_sub,W40D_1_GLbulkRNAseq_sub,W40D_2_GLbulkRNAseq_sub,W40D_4_GLbulkRNAseq_sub,W40D_5_GLbulkRNAseq_sub,W40R_2_GLbulkRNAseq_sub,W40R_4_GLbulkRNAseq_sub,W40R_5_GLbulkRNAseq_sub
Bra003467,0,0,3,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,1,2,0,2,1
Bra003468,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
Bra003469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1
Bra003470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003471,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,2,1,0,0,0,0
Bra003472,3,3,6,5,1,1,2,2,2,2,2,3,4,0,1,9,6,2,2,2,0,0,1,9,12,14,18,1,1,5,14
Bra003473,1,1,1,0,0,1,1,6,1,3,2,0,0,0,0,0,2,2,0,1,1,0,0,0,0,3,0,0,2,1,2
Bra003474,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,2,0,0,0,1,0,0,0,1,5,3,1,6,2,2
Bra003475,0,2,1,0,1,1,3,2,0,1,0,0,0,1,1,6,0,0,3,0,0,0,1,2,0,3,1,0,1,1,5
Bra003476,1,16,6,11,5,6,5,16,16,8,5,5,8,3,4,4,4,7,11,6,13,8,5,9,13,10,17,5,2,4,18
Bra003477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003481,2,1,0,3,0,0,1,0,4,0,0,1,0,0,0,2,2,0,0,1,1,0,0,0,1,1,2,0,1,2,3
Bra003482,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0
Bra003483,0,0,0,0,0,2,0,3,0,1,1,1,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,3,2
Bra003484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003485,0,0,1,0,0,1,0,0,1,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,3,1,0,2,4
Bra003486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bra003487,5,2,8,2,2,1,4,8,6,4,1,2,4,1,5,3.17,6,3,3,4,4,0,1,3,7,14,19,4,8,7,26
Bra003488,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0
Bra003489,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,1,0,0,0,1,0,3,0,1,1,0,2
Bra003490,0,12,11,3,1,3,3,8,15,3,5,11,8,0,2,2,2,10,15,3,2,2,5,1,16,9,16,5,4,3,8
Bra003491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003493,1,2,1,0,0,0,0,1,0,1,0,1,1,1,2,0,4,1,2,1,1,1,0,1,1,3,6,1,3,3,9
Bra003494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Bra003497,0,0,2,0,1,0,1,1,3,1,0,0,5,0,0,1,2,0,0,0,2,0,0,1,0,6,5,0,1,1,5
Bra003498,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1
Bra003499,22,16,20,1,14,29,7,15,42,10,11,28,8,11,28,3,9,26,10,3,15,9,9,3,6,5,31,16,9,7,1
Bra003500,0,0,6,0,0,1,3,8,3,3,2,1,4,0,1,2,4,2,3,2,2,1,2,2,4,2,3,1,0,0,3
Bra003501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003502,4,1,12,10,1,6,6,12,12,9,5,6,9,9,5,8,8,14,15,1,8,7,14,16,2,12,8,3,7,10,16
Bra003503,1,2,6,7,3,5,3,2,3,6,6,3,3,2,1,6,9,6,7,4,2,11,13,18,1,6,4,6,13,6,8
Bra003504,0,1,3,0,4,3,1,3,0,1,1,2,0,0,3,1,4,1,3,0,4,1,4,1,2,5,4,1,3,2,5
Bra003505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003506,0,0,0,2,1,0,2,2,3,4,0,1,0,1,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1
Bra003507,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Bra003508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Bra003510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003511,0,0,1,1,0,0,1,0,1,1,5,2,0,5,0,2,2,3,6,2,1,2,3,0,0,1,1,0,0,1,2
Bra003512,0,4,4.02,8.8,0,4,3.12,11.29,4.19,3,5,2.08,7,0,0,1.08,4,3,0,3,2,0,0,3,12.49,14.23,16.4,0,5.33,7.41,15.03
Bra003513,2,1,3,0,4,3,2,4,1,2,2,1,0,1,0,2,3,2,11,2,3,1,3,6,2,6,5,2,7,8,2
Bra003514,2,2,2,2,1,1,1,1,2,1,2,1,0,2,3,1,7,5,1,4,4,0,3,2,4,8,21,5,3,2,15
Bra003515,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bra003516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003518,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,4,0,0,1,1,0,1,1
Bra003519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003520,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,3,0,0,1,0,0,0,0,6
Bra003521,0,1,1,1,1,1,1,0,0,2,2,3,0,2,0,0,1,0,1,1,0,0,1,0,0,3,5,1,1,0,2
Bra003522,2,1,0,0,0,0,0,2,2,0,0,1,1,1,0,0,1,0,0,0,2,0,0,2,0,1,1,0,0,1,2
Bra003523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003524,5,10,12,3,6,14,7,14,14,6,4,12,5,3,10,7,17,12,6,5,11,7,11,4,3,17,10,4,7,7,10
Bra003525,3,3,12,2,4,2,6,10,9,2,3,5,3,1,4,5,11,3,7,4,4,4,4,3,8,41,34,5,7,8,27
Bra003526,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,1,0,39,17,0,0,0,0,0,0,0,0,0
Bra003527,11,12,39,5,3,14,7,34,15,10,16,11,19,5,23,13,11,14,6,6,21,8,10,21,12,55,37,18,13,20,55
Bra003528,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Bra003529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Bra003530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bra003531,0,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,0,2,1,0,2,0,0,0,0,3,6,0,1,0,0
Bra003532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003533,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Bra003534,4,6,11,2,1,2,0,4,4,3,7,4,1,3,7,9,6,2,4,2,1,2,5,13,8,19,17,2,5,4,23
Bra003535,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bra003536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003537,2,1,3,1,2,2,4,6,2,0,0,3,1,0,1,3,7,2,1,2,6,2,3,3,2,6,4,1,1,0,2
Bra003538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2
Bra003539,7,2,9,2,1,3,5,7,4,7,2,3,3,3,4,3,9,3,3,2,6,3,2,3,2,12,13,2,5,8,22
Bra003540,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,2,0,1,3,0,3,2,1,0,0,0,4
Bra003541,1,2,1,1,0,0,2,2,0,2,0,3,2,0,2,4,0,1,1,2,4,0,1,0,0,4,6,0,1,1,2
Bra003542,0,1,2,1,0,2,0,3,2,0,0,0,1,1,1,2,2,1,2,1,3,1,1,0,0,13,11,0,3,0,5
Bra003543,0,0,3,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,2,1,2,2,11
Bra003544,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0
Bra003545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003546,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1
Bra003547,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bra003548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003549,1.12,3.41,2.57,0,0,1,1.07,2.36,1.25,1.14,1,0,3.72,2,1,0,2.88,1.02,0,0,0,2.21,7,2,0,8,7.75,0,3.97,1.09,0
Bra003550,0.88,1.59,0.43,0,2,0,1.93,3.64,1.75,2.86,0,3,1.28,0,0,0,0.12,0.98,1,0,2,0.79,0,0,5,0,1.25,0,1.03,0.91,0
Bra003551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bra003554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003555,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Bra003556,1,0,1,2,0,1,2,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,2,1,0,2,0,1,1,1
Bra003557,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Bra003558,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,6,2,1,5,0,5,2,20
Bra003559,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,2,2,1,2,0,9
Bra003560,2,4,7,4,1,2,1,3,4,5,1,1,1,0,1,2,10,2,5,3,2,1,1,1,4,26,21,4,6,2,18
Bra003561,1,0,2,1,0,1,2,1,2,1,3,1,2,1,1,3,2,1,0,1,3,3,1,4,3,4,6,1,1.5,1,3
Bra003562,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bra003563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003564,5,1,4,1,2,5,4,5,5,3,3,2,6,2,10,3,12,1,1,3,2,2,4,2,2,7,15,6,3,5,1
Bra003565,5,3.94,10,8,3,3,5,20,7,2,6,3,19,1,5,6,12,7,0,0,4,2,1,5,11,14,26,1,8,9,48
Bra003566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bra003567,3,0,2,1,1,1,4,5,2,1,2,1,1,2,4,2,5,6,1,1,0,1,1,3,2,4,7,2,2,1,13
Bra003568,1,0,1,4,1,2,1,0,0,1,2,1,4,0,0,1,1,0,0,1,1,3,0,5,3,2,1,1,1,1,4
Bra003569,5,0,4,2,0,3,2,6,4,3,2,3,2,2,1,0,3,3,3,4,2,1,1,2,0,12,13,3,1,5,24
Bra003570,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
Bra003571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Bra003572,0,0,1,1,0,1,0,2,0,0,0,1,2,0,0,1,2,0,3,0,0,0,0,1,0,1,3,0,0,3,2
Bra003573,1,2,1,8,0,2,2,7,1,2,2,1,5,3,0,2,2,0,0,3,1,0,1,10,1,9,4,0,1,1,16
Bra003574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003575,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003576,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,1,0,0,0,13,0,2,1,0,2,0,0
Bra003577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003578,0,2,3,1,0,1.1,2,3,0,0,3,1.1,0,1,3.37,3,0,1,3,1,1,1,0,3.3,3,3,7,1,1,4,12
Bra003579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003580,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003581,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
Bra003582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003583,1,1,3,2,0,2,1,4,0,0,3,0,0,1,0,0,0,0,0,1,1,0,2,7,3,5,15,2,3,2,28
Bra003584,1,2,5,4,0,0,0,5,3,2,3,0,8,1,1,2,4,0,2,2,3,0,2,1,1,5,6,2,3,1,8
Bra003585,2,0,1,2,0,0,3,2,0,0,0,0,0,0,1,2,1,2,0,2,5,0,0,0,6,9,9,0,1,2,9
Bra003586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bra003587,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bra003588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
Bra003589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003590,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Bra003591,3,1,0,2,0,0,0,1,2,3,1,0,1,0,2,0,7,0,2,3,1,1,2,5,2,2,8,0,3,1,7
Bra003592,0,3,2,1,0,0,2,9,0,2,1,0,14,3,2,6,10,3,0,0,5,3,1,8,5,11,11,20,5,6,3
Bra003593,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bra003594,3,0,1,1,0,0,1,0,1,0,3,1,0,0,0,1,1,1,0,1,0,0,2,5,0,1,8,1,0,1,7
Bra003595,0,0,2,2,3,1,1,3,0,0,0,0,1,3,4,1,2,2,5,1,1,3,0,2,0,0,0,1,4,3,1
Bra003596,0,0,1,0,5,0,8,4,1,1,2,0,0,1,1,9,2,0,0,0,5,0,3,1,2,3,5,0,19,29,7
Bra003597,4,1,5,0,0,2,4,8,3,3,3,5,5,0,0,7,2,3,3,1,5,3,4,4,6,17,12,0,7,3,8
Bra003598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003599,1,1,2,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,3,2,1,2,0,4
Bra003600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bra003601,0,1,1,0,1,0,1,3,1,0,1,0,1,0,3,0,1,1,0,0,2,0,0,0,0,1,2,3,1,2,0
Bra003602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003603,1,0,2,2,0,1,4,0,1,1,0,3,1,1,2,0,2,0,1,1,0,3,0,0,2,3,9,0,5,0,8
Bra003604,2,7,9,5,3,3,14,8,6,7,9,5,2,1,3,3,15,7,2,6,2,2,1,10,15,52,30,4,3,8,16
Bra003605,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0
Bra003606,2,0,2,2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,2,0,2,0,0,1,3,3,3,0,0,0,7
Bra003607,4,1,5,1,0,2,2,2,4,0,7,5,4,2,0,3,3,2,3,2,8,5,1,1,3,6,3,1,5,3,10
Bra003608,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,1,0,0,0,1,2,0,0,1,3
Bra003609,0,8,24,33,20,0,18,24,1,33,23,2,9,14,7,17,3,17,31,2,0,18,0,48,18,7,37,22,13,62,27
Bra003610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003611,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bra003612,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,5,0,0,1,0,3
Bra003613,0,9,6,9,12,6,8,11,1,16,3,1,20,11,8,6,10,11,2,5,3,7,3,8,10,1,4,29,5,6,0
Bra003614,8,9,15,2,2,7,4,2,11,7,5,10,7,2,4,9,20,3,8,10,3,6,4,8,14,35,39,7,9,14,87
Bra003615,2,6,5,0,3,6,2,4,6,4,6,4,4,2,4,2,5.75,2,5,3,2,3,3,5,2.68,10,29,5,6,7.51,40
Bra003616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bra003617,1,0,1,0,0,1,0,3,0,0,1,0,1,0,0,0,2,1,0,0,0,0,2,0,0,2,4,0,1,1,6
Bra003618,0,1,3,3,1,0,0,3,2,0,0,2,3,1,1,2,1,0,0,6,0,2,1,1,1,9,6,1,1,2,2
Bra003619,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,1,0,1,1,0,1,0,0,2,1,0,3,0,1,2,1
Bra003620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003622,2,1,1,2,0,0,1,3,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,0,2,1,9,3,1,0,6
Bra003623,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2
Bra003624,24,29,44,2,19,40,13,28,77,43,7,42,15,25,68,4,150,54,51,30,53,19,53,6,9,101,92,58,17,30,7
Bra003625,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1
Bra003626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003627,1,0,3,2,0,1,0,7,2,4,1,0,5,2,0,2,6,1,0,3,1,1,0,2,4,11,4,2,1,3,6
Bra003628,3,0,2,1,0,0,0,3,0,3,0,3,1,0,1,0,2,0,0,2,0,2,0,4,0,1,1,0,4,3,0
Bra003629,0,0,0,1,0,0,3,1,0,0,2,2,1,0,0,4,0,0,1,0,0,0,0,1,3,2,1,0,5,7,1
Bra003630,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0
Bra003631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003632,3,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Bra003633,3,6,13.58,1,0,5,2,16.6,14.69,4,4,3.48,10,0,2,6.58,23,4,7,6,4,5,4,3,3.59,31.55,39.1,4,8,6,22.6
Bra003634,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Bra003635,2,1,4,0,1,5,3,6,3,1,4,1,6,3,6,2,9,2,1,1,6,1,0,10,0,13,5,4,3,0,31
Bra003636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003640,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Bra003641,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0
Bra003642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003644,5,13,19,8,7,6,8,29,21,7,6,17,17,2,10,12,31,8,24,19,19,7,14,12,13,76,98,4,39,21,75
Bra003645,6,11,12,6,3,12,16,21,9,7,22,10,24,1,9,11,19,10,7,12,6,16,7,6,3,56,63,13,4,15,11
Bra003646,0,0,6,0,0,0,0,1,4,0,0,0,2,1,0,1,4,0,3,0,6,7,1,0,2,17,7,2,7,1,12
Bra003647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bra003648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003649,3,4,8,1,2,2.15,3,18,5,3,3,2,9,1,3,3,3,2,5,3,8,3,6,2,8,6,5,2,5,7,16
Bra003650,1,0,0,2,0,2,0,1,0,0,0,1,0,0,2,1,1,1,0,2,2,0,0,1,1,2,0,3,0,1,4
Bra003651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bra003652,0,0,2,0,0,1,1,0,0,4,0,2,6,0,0,2,2,1,0,0,1,0,0,1,0,5,10,0,1,2,9
Bra003653,1,0,1,0,4,0,3,1,2,1,1,0,3,1,2,1,4,1,2,1,3,0,3,4,1,1,3,0,2,3,2
Bra003654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0
Bra003655,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
Bra003656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra003657,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Bra003658,4,2,1,1,0,2,1,1,0,1,3,0,0,0,0,1,4,0,1,0,2,1,1,6,4,1,2,3,2,2,7
Bra003659,2,5,3,0,3,3,4,2,1,1,2,1,4,0,2,3,0,3,5,1,3,1,3,3,4,4,2,2,3,2,5
Bra003660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
