"symbol","ensembl_ID","User_ID","baseMean","ANTHO_LESS_&_0_CGY-WT_&_0_CGY_log2FC","ANTHO_LESS_&_0_CGY-WT_&_0_CGY_adjPval","ANTHO_LESS_&_40_CGY-ANTHO_LESS_&_0_CGY_log2FC","ANTHO_LESS_&_40_CGY-ANTHO_LESS_&_0_CGY_adjPval","ANTHO_LESS_&_40_CGY-WT_&_40_CGY_log2FC","ANTHO_LESS_&_40_CGY-WT_&_40_CGY_adjPval","WT_&_40_CGY-WT_&_0_CGY_log2FC","WT_&_40_CGY-WT_&_0_CGY_adjPval","Processed data:","search_label","AL0D_1_GLbulkRNAseq_sub","AL0D_2_GLbulkRNAseq_sub","AL0D_3_GLbulkRNAseq_sub","AL0D_4_GLbulkRNAseq_sub","AL0D_5_GLbulkRNAseq_sub","AL0R_1_GLbulkRNAseq_sub","AL0R_2_GLbulkRNAseq_sub","AL0R_3_GLbulkRNAseq_sub","AL0R_4_GLbulkRNAseq_sub","AL0R_5_GLbulkRNAseq_sub","AL40D_1_GLbulkRNAseq_sub","AL40D_2_GLbulkRNAseq_sub","AL40D_3_GLbulkRNAseq_sub","AL40D_4_GLbulkRNAseq_sub","AL40D_5_GLbulkRNAseq_sub","AL40R_1_GLbulkRNAseq_sub","AL40R_2_GLbulkRNAseq_sub","AL40R_3_GLbulkRNAseq_sub","AL40R_4_GLbulkRNAseq_sub","W0D_1_GLbulkRNAseq_sub","W0D_2_GLbulkRNAseq_sub","W0D_3_GLbulkRNAseq_sub","W0D_4_GLbulkRNAseq_sub","W0D_5_GLbulkRNAseq_sub","W0R_1_GLbulkRNAseq_sub","W0R_2_GLbulkRNAseq_sub","W0R_3_GLbulkRNAseq_sub","W0R_4_GLbulkRNAseq_sub","W0R_5_GLbulkRNAseq_sub","W40D_1_GLbulkRNAseq_sub","W40D_2_GLbulkRNAseq_sub","W40D_3_GLbulkRNAseq_sub","W40D_4_GLbulkRNAseq_sub","W40D_5_GLbulkRNAseq_sub","W40R_1_GLbulkRNAseq_sub","W40R_2_GLbulkRNAseq_sub","W40R_3_GLbulkRNAseq_sub","W40R_4_GLbulkRNAseq_sub","W40R_5_GLbulkRNAseq_sub"
"BRA037536","BRA037536","BRA037536",10.0987306903954,0.0166519754059455,1,0.327320760391439,1,-0.0266594106653363,1,0.370632146462721,1,"","BRA037536",3.18483062315613,4.10501308733859,4.42608870505396,2.80387695770702,3.67296401056778,3.73748894769142,4.14212162221539,3.35148556107651,3.19066362479469,2.79388054295957,4.63574680493244,4.16289120813393,3.7892738553551,3.23880093666753,4.3464386085588,3.37075098336212,3.88599635801857,4.01328163058874,3.46927923165018,4.28113453169907,4.25275504047159,3.87073223337182,3.98322731021742,2,3.83008363243497,3.98210269695314,3.18121552625199,3.03634443758714,2.9063787231931,3.4876481557102,4.63305410693394,4.58170204184437,4.94577492019211,3.89249597420102,3.34972689077348,3.29984105984404,3.620545236523,2.9630013039737,3.6758423887659
"BRA025663","BRA025663","BRA025663",10.1742286391219,-0.878997230378638,1,-0.496423424716026,1,-1.40532767846901,0.0352702911114464,0.0299070233743463,1,"","BRA025663",3.69081590072418,3.07085105087701,3.67227690937511,3.3170565937437,3.24362733183618,3.73748894769142,2.64986175960598,3.94293495429575,3.76758368297876,3.30302852839372,2.45680369546767,2.76181524562357,2.268674801757,4.24490633340357,3.13859721773488,3.37075098336212,2.92500715097696,3.80108153219253,3.00774306154891,3.87685022950629,3.81172337994765,3.42810684157688,3.80708286468236,3.77300079865187,5.19083303916704,3.8701146092778,4.26394563539956,4.64503766667923,4.09719132076392,3.81804896482427,4.17130804213474,3.52101091967066,4.27663164835529,3.75432049278499,4.57425751068871,2.93641065785148,3.77430463617244,4.74333532382432,4.80457473492474
"BRA009900","BRA009900","BRA009900",10.9086332785985,0.32667234690437,1,0.0566451939982664,1,-0.120773502548219,1,0.504091043450855,1,"","BRA009900",3.69081590072418,4.70118550491791,4.29444854405125,3.08316531240054,4.09863364864362,2.83040211675859,3.71196678911518,4.28669449330833,3.83396451966386,2.79388054295957,4.12183733402745,3.8280696763435,5.09995615107968,2.74847112049154,4.65245003464354,3.96634223754848,2.5354028709929,3.25123557305604,3.81840375895475,4.28113453169907,3.58904013925142,3.14261587804926,4.41062383515552,4.16740542875041,3.11211682156176,3.47009991522671,2.70826563694246,3.78759525823636,3.20883079421354,4.72101712778588,4.9429944440895,4.041430370508,4.33418383043773,3.23657529711338,3.25928747307163,3.67492446351645,3.620545236523,3.43768042408855,3.99756762939586
"BRA000162","BRA000162","BRA000162",11.4136375211567,-0.32663736072594,1,-0.833425151724061,1,0.251148279529877,1,-1.41121079197988,0.757538238167911,"","BRA000162",3.37390362195899,4.50534647171414,3.35742012275408,5.31461466071404,2.86453988533165,4.68868760355092,2.36121691091239,4.03685317324713,2.97227567445616,4.43359763059928,4.9457870890796,2.3008550009418,3.95077082769502,5.14080031400041,2.56624758031143,2,3.6989892506264,2.35173054817644,2.59012915651209,4.73170807143699,5.25339749195434,3.14261587804926,2,4.07844627240141,3.25939362335612,5.64474117681489,2.70826563694246,3.71247202419186,3.85718663258374,2.62414240864072,4.20492552934085,5.45587438869915,4.44282715714897,2.74690822806659,2.55049844799404,2.44943395595216,2.42848407998787,2.25080663278762,2.76419983492786
"BRA008953","BRA008953","BRA008953",8.11920894502042,-0.000374940501390971,1,0.202395225074469,1,-0.742853091823018,0.525789312486188,0.944873376396096,0.427462844840258,"","BRA008953",4.06468201068772,3.24843783025376,3.52342089935395,3.08316531240054,2.86453988533165,3.11587981390441,2.8902729484569,3.61776705909088,3.83396451966386,2.79388054295957,3.85099285984205,3.11061132298948,3.95077082769502,3.43297478778295,2.78324798545245,3.75662930670118,3.48408001285331,3.55219647952337,3.46927923165018,3.75520981405242,3.0030593088623,2.97544516903431,3.09495464199995,3.52626282710875,3.25939362335612,2.37302837064969,3.68635966875026,4.05417897819759,3.45873356576067,4.1467195860629,4.26989795898591,3.16775218112604,4.41642367000393,3.60149569249319,3.66361524897661,3.29984105984404,4.03996949889008,3.53541700292279,4.96064636567013
"BRA018629","BRA018629","BRA018629",13.432479048212,-0.122929499087991,1,-0.174771341282099,1,0.133759260107709,1,-0.431460100477799,1,"","BRA018629",4.26906340427958,4.27868441412004,3.93057778059706,4.35101328948923,2.62963414114075,4.68868760355092,5.6299809972085,2.82852900879172,3.38029803825011,2,5.04678866257399,4.43445766403956,3.15588157833524,3.75704044718178,4.12587311233216,3.75662930670118,3.88599635801857,4.36214895948026,2.81399437305228,5.35135230032233,3.81172337994765,4.76500147523502,4.06384053539001,2,4.99453537502487,4.43989622453844,3.94571052209227,3.85899956721317,2.72748585754733,2.62414240864072,3.69154277225193,4.72459840671264,4.33418383043773,4.8958510759126,3.34972689077348,3.4995382327568,4.26423788594294,4.01362493155514,2.76419983492786
"BRA003527","BRA003527","BRA003527",13.4562301400608,0.244266995694003,1,0.00818400192128086,1,-0.229350505610095,1,0.481801503225379,1,"","BRA003527",4.17048893172057,4.10501308733859,4.82636268725468,3.3170565937437,3.24362733183618,3.11587981390441,4.31705073700393,3.49076113193799,4.68951228267704,4.43359763059928,3.92361795345526,3.73063672537849,4.09599586791011,3.75704044718178,3.86539252121822,4.59036159925296,3.6989892506264,4.87775984735735,4.09928840803794,3.39688884023278,4.17468112730901,3.29241174529939,3.24078836483908,3.2284393440915,4.55552869183701,3.74869639432899,4.05976848048507,4.56188308676067,4.48291487474964,3.66228636233845,4.77410740443013,3.80456069439979,4.21668784999413,4.82857729011055,4.18962505005049,3.75522027007558,4.2113537955363,4.26226599462234,4.69769520835777
"BRA014229","BRA014229","BRA014229",11.8185477253017,0.0413404913002692,1,0.293690779217363,1,-0.100363113966644,1,0.435394384484277,1,"","BRA014229",4.44805109797785,3.54901671439197,4.09786631417444,3.69481729312186,3.54354738655199,4.17050649364168,4.47304466138748,3.84247436566945,2.97227567445616,2,4.59185136358344,4.08618577824663,4.34880310869753,3.60408771604541,4.3464386085588,3.96634223754848,4.05152098776377,4.01328163058874,3.46927923165018,4.40763943713363,3.81172337994765,3.77214729301431,4.21269499090563,3.65490021443971,4.2379315854628,3.30762805847726,4.05976848048507,3.15457982157504,2.9063787231931,3.57760814117449,4.86102082952611,4.58170204184437,4.8892961422428,4.01858658202764,3.73246810566144,3.58989488806472,4.26423788594294,3.94413994385513,3.19980115111103
"BRA018079","BRA018079","BRA018079",12.5355056967707,0.223040787851396,1,-0.579356997651912,1,-0.37492623846205,1,0.0186100286615344,1,"","BRA018079",4.06468201068772,2.63258101173153,3.8072004306635,6.18214280359711,2.34889671633293,3.73748894769142,4.39715506239761,3.49076113193799,2.97227567445616,3.67861042465089,4.29608306251142,2.54966770581207,5.16725010176361,4.52608899854919,2.31072830048592,2.33838665735024,4.67630395334531,2,2.32503030820288,3.12953166389318,4.52861297692081,4.4190305439882,4.73991684255418,4.84366543538008,3.73259555134851,2,4.35613031543767,3.71247202419186,2.28520536634849,3.95862118022858,2.51072456414322,5.87899526694514,4.74822061699365,3.01241762262591,2.55049844799404,3.4031421400446,3.69947238672597,4.26226599462234,2.76419983492786
"BRA013786","BRA013786","BRA013786",14.9353307663522,0.280842741196602,1,0.00140761685855115,1,-0.0809158510425668,1,0.36316620909772,1,"","BRA013786",3.9504967148252,4.87358981436838,4.72773681199416,3.85209954018768,4.63183525021394,3.89671097184046,3.71196678911518,4.49958886499627,4.57772766056614,2.79388054295957,3.99276166133277,4.60910098069428,4.16347053907141,3.60408771604541,5.07901012026483,4.23290223100189,2.92500715097696,3.25123557305604,5.18366184370758,4.59657202509218,3.81172337994765,2.56863913707039,4.47099351759418,4.73143569028662,3.51530943290498,3.74869639432899,3.36993932801881,4.83409911637806,3.45873356576067,4.97386748635634,4.68162041884674,4.041430370508,3.98478656621493,3.60149569249319,4.41580962221076,4.21879478416441,4.58841392447715,4.07991650775873,4.31933342033831
"BRA037730","BRA037730","BRA037730",11.832939283607,-0.356443740854327,1,0.113175613996669,1,-0.678518714079575,0.36999891439469,0.435250587221916,1,"","BRA037730",3.9504967148252,3.54901671439197,4.29444854405125,3.08316531240054,4.09863364864362,3.35409205540234,3.71196678911518,3.94293495429575,3.6980006198443,2,3.99276166133277,3.73063672537849,3.7892738553551,3.60408771604541,4.27659760115742,3.37075098336212,3.48408001285331,4.28251861296336,3.71114984955569,4.40763943713363,4.17468112730901,3.77214729301431,3.60640175811669,4.33038670791339,3.62803934861662,3.8701146092778,2.96403494873954,4.60405940553562,3.85718663258374,4.25974264740036,4.1016276251222,4.041430370508,4.85037662272418,4.75801239288881,3.79818408812489,4.37942703490856,4.09938870427826,3.94413994385513,4.69769520835777
"BRA030945","BRA030945","BRA030945",7.87187820658981,-0.049870920043499,1,0.61570617412543,1,-0.645156252188334,0.671899436133095,1.21099150627026,0.171007435431483,"","BRA030945",2.39872441292614,2.63258101173153,3.59976790744176,3.08316531240054,3.06649924005627,2.83040211675859,3.27652323216565,3.35148556107651,4.12656490180673,2,3.77451713115067,2.94672863521782,3.15588157833524,3.60408771604541,3.42348986148992,3.86529295643226,3.6989892506264,3.80108153219253,4.09928840803794,3.39688884023278,3.0030593088623,2.56863913707039,3.37322452473855,3.05276855790807,3.83008363243497,3.12450936363097,3.18121552625199,3.78759525823636,2.9063787231931,3.74226878446993,4.47670050616012,2.69893580653444,4.24697105894704,3.43054289890946,4.28439474706054,4.4292283518387,3.84544601269847,3.21977594847574,4.86509721599638
"BRA006316","BRA006316","BRA006316",7.60636902430706,-0.783809794613362,1,0.149959857825852,1,-0.652496030325089,1,0.0186460935375795,1,"","BRA006316",2.71077537549825,3.07085105087701,2.70035653252308,3.51826606770626,3.67296401056778,2.47414055252532,2.8902729484569,3.19731367223933,2.97227567445616,3.67861042465089,2,3.51348774135747,2.86298923330489,3.43297478778295,3.42348986148992,3.2151874994472,3.48408001285331,3.68199938233307,2.59012915651209,3.39688884023278,3.0030593088623,3.14261587804926,3.24078836483908,2.3432676813035,4.2379315854628,3.47009991522671,4.35613031543767,5.03245317667879,3.56912815634293,3.05837794387883,2.88715959927404,2,3.05978099173425,2.74690822806659,4.03466559922094,4.10082279059682,3.25294532590313,5.89342734863233,2.67685623242982
"BRA010781","BRA010781","BRA010781",10.7769405452262,0.462560023331609,1,-0.197012985361423,1,-0.443654972507865,1,0.709202010478051,0.828635257342051,"","BRA010781",2.967187257571,4.27868441412004,3.74131538284838,2.45721933891263,4.00340407565503,3.89671097184046,3.58089918174921,4.20812519211852,4.57772766056614,4.617326922857,3.42020722781045,3.25776227842683,3.70119773622304,3.23880093666753,3.13859721773488,4.7688241608453,3.48408001285331,4.01328163058874,4.33429712388701,3.81731165177847,4.25275504047159,3.77214729301431,3.98322731021742,3.88216081216123,2.5505562807565,2.66915100645739,3.36993932801881,3.63322109495375,3.33918642968395,4.36455096108279,4.36217931737419,3.52101091967066,4.9822353233441,3.43054289890946,3.34972689077348,4.16101430163241,4.15645715480094,3.71302113423145,4.13499738088892
"BRA014756","BRA014756","BRA014756",16.7188584822411,-0.310844906533031,1,-0.452892942589834,1,-0.414506648559275,1,-0.349231200563589,1,"","BRA014756",4.94207847064957,4.50534647171414,3.93057778059706,4.72102197971562,5.20282341380146,4.04009414346187,3.43672341686078,3.73449121470873,4.12656490180673,4.43359763059928,3.08235719818724,5.07381615866854,4.02520991312798,4.43831277242567,3.28806445206629,3.96634223754848,4.45771727300976,2.87048011823439,3.81840375895475,3.87685022950629,3.70467395899579,5.86071152421076,4.2817327960814,4.94779126156308,4.2379315854628,4.84728295447227,4.81177278654396,3.63322109495375,4.53825052560382,4.36455096108279,3.86978647851337,4.42308020419891,4.72689178908109,4.13453724398203,3.92126483130231,4.85071436464552,3.25294532590313,5.25463171425571,2.92446366168033
"BRA010782","BRA010782","BRA010782",9.74592519628924,0.644180086275888,1,-0.0763060746597455,1,-0.31536878671148,1,0.883242798327622,0.552012510194087,"","BRA010782",3.9504967148252,4.19446048906417,4.33967643733156,3.85209954018768,3.24362733183618,3.73748894769142,3.43672341686078,3.61776705909088,4.17858308575252,3.30302852839372,3.42020722781045,3.62614393771954,4.02520991312798,3.01436762785201,4.27659760115742,4.23290223100189,3.2314572803701,3.80108153219253,4.01159906376396,4.23637498397888,3.91137536482987,3.14261587804926,3.60640175811669,4.16740542875041,2.30138298211183,3.47009991522671,2.39716704267423,2.60929357153895,3.20883079421354,3.4876481557102,4.39167308225546,4.041430370508,4.72689178908109,3.23657529711338,3.79818408812489,3.4995382327568,3.69947238672597,3.43768042408855,4.67533519963193
"BRA010498","BRA010498","BRA010498",17.0817793575346,0.0715667500143823,1,0.209521085942091,1,0.40145951581282,1,-0.120371679856347,1,"","BRA010498",2.967187257571,4.87358981436838,5.23821136669633,4.94711937303746,3.67296401056778,2.83040211675859,3.94301707400162,4.84939681830646,4.82624165717029,3.30302852839372,4.29608306251142,4.43445766403956,5.02936906700856,4.13752239980365,5.11946872723798,4.92762111107552,3.6989892506264,4.57764088860936,4.53633254297942,4.04200592448675,4.81259548645106,3.77214729301431,4.2817327960814,4.54480230687916,3.92139900639334,4.1829533553224,5.25653119101413,4.33025023332918,3.85718663258374,5.00662594753812,4.55699439412311,4.24483884149329,4.05493311287874,2.74690822806659,4.23778792863857,4.37942703490856,3.77430463617244,4.14329534780009,4.40336093452854
"BRA025570","BRA025570","BRA025570",4.53143684654421,-0.366905191277403,1,0.0314213566166901,1,-1.86907548081789,0.0366403974498341,1.53359164615717,0.204487792271208,"","BRA025570",2.39872441292614,2.63258101173153,2.55451982565249,2.80387695770702,2.86453988533165,2,2.36121691091239,2.33184802085525,3.6980006198443,2,2.80322317650244,2,2.69073192629668,2.74847112049154,2.97183578487624,3.2151874994472,2,2.63429663556741,2.81399437305228,2.67259598664717,3.0030593088623,2.31215625618113,2.2953853550587,2.85270225731632,2.5505562807565,3.47009991522671,2.70826563694246,3.26385497854894,3.33918642968395,3.74226878446993,3.48813124800399,3.80456069439979,3.91105427439272,2,3.86103661136756,2.93641065785148,3.77430463617244,3.21977594847574,5.08460080274635
"BRA037761","BRA037761","BRA037761",15.0648784684081,-0.339144805186639,1,0.578138075187477,1,0.487784977162625,1,-0.248791707161787,1,"","BRA037761",5.11106507223511,4.50534647171414,3.87020758716695,3.69481729312186,2.34889671633293,4.17050649364168,4.54514097171249,3.49076113193799,3.54787706038822,2,5.22977208940778,4.60910098069428,3.60739296826302,4.34484811619782,4.04416254350584,3.75662930670118,4.77431451503243,5.07970938674821,3.46927923165018,5.24239274753994,5.13469793939453,4.04973719843408,4.5289381624023,3.38502264580532,4.3072909042856,3.30762805847726,4.74514030426985,3.26385497854894,3.06551618680894,2.7838553998067,3.91110719214371,5.61111627066779,4.41642367000393,5.60764711622275,3.43482975087901,4.03801024441068,3.25294532590313,3.21977594847574,2
