"","SRR4417242","SRR4417238","SRR4417240","SRR4417241","SRR4417237","SRR4417239","SRR4417243","SRR4417244"
"Bra004192",187,128,226,77,304,133,424,193
"Bra004193",1,12,36,3,9,3,18,10
"Bra004194",0,1,4,0,1,0,5,1
"Bra004195",0,0,0,0,0,0,0,0
"Bra004196",23,31,71,38,48,69,118,76
"Bra004197",0,0,0,0,0,0,0,0
"Bra004198",0,1,0,0,0,0,0,0
"Bra004199",0,2,8,7,0,1,14,4
"Bra004200",24,21,42,9,18,21,6,19
"Bra004201",0,0,0,0,0,0,0,0
"Bra004202",2,0,0,0,3,0,2,1
"Bra004203",5,20,9,1,23,17,23,15
"Bra004204",2,14,4,5,18,5,9,10
"Bra004205",0,0,0,0,1,1,0,0
"Bra004206",1060,765,963,670,1195,991,1691,1221
"Bra004207",159,180,279,153,250,208,284,224
"Bra004208",300,197,198,192,295,258,466,291
"Bra004209",139,160,50,62,106,112,428,216
"Bra004210",1423.33,1373,1591.94,1349.69,1822.99,1801,3344.89,2225.9
"Bra004211",192.48,209.73,265.85,203.79,273.97,240.86,299.55,388.26
"Bra004212",0,0,0,1,2,1,1,1
"Bra004213",85,148,130,80,191,174,285,199
"Bra004214",1258,1660,1845,1465,1966,2103,4063,2229
"Bra004215",16007.74,3029,5699,2207,9676.64,9122,8224,9909.81
"Bra004216",472,620,804,455,675,569,824,576
"Bra004217",102,199,165,171,162,233,318,347
"Bra004218",53,49,79,43,77,88,100,68
"Bra004219",0,0,0,0,0,0,0,0
"Bra004220",150,221,255,96,217,236,369,246
"Bra004221",280.91,285.46,463.2,306.45,388.27,336.7,748.56,474.12
"Bra004222",7,7,15,261,13,7,10,430
"Bra004223",250,198,283,202,185,172,428,340.99
"Bra004224",0,0,0,0,0,0,0,0
"Bra004225",723,961,1149,644,1544,902,1606,1189
"Bra004226",119,110,121,120,157,159,269,172
"Bra004227",214,44,77,85,110,88,328,222.56
"Bra004228",0,0,0,0,3,0,0,1
"Bra004229",234,188,294,176,338,221,482,375
"Bra004230",0,1,0,0,3,0,0,0
"Bra004231",15,15,23,10,34,21,63,17
"Bra004232",27,51,62,25,99,61,132,70
"Bra004233",0,0,0,0,0,0,0,0
"Bra004234",39,3,5,9,14,11,13,22
"Bra004235",93,66,85,56,79,77,167,91
"Bra004236",766,608,755,574,913,721,1692,1100
"Bra004237",97,58,103,45,144,86,154,137
"Bra004238",10,15,9,6,19.73,16.22,27.32,10
"Bra004239",463,430,339,266,501,669,701,444
"Bra004240",3,0,0,0,0,1,1,0
"Bra004241",57,87,91,46,107,83,167,74
"Bra004242",0,0,0,0,0,0,0,0
"Bra004243",419.85,522.14,607.21,352,726.2,497.72,1169.47,848.6
"Bra004244",469.77,437.41,553.28,346.87,494.84,509,859.95,656.61
"Bra004245",76,99,128,76,334.85,150,233,101
"Bra004246",213,100,85,56,124,151,186,161
"Bra004247",5457,5412,5130,5885,7403,7013,13750,8441
"Bra004248",0,0,0,0,0,0,0,0
"Bra004249",590,545,959,540,880,583,1326,1107
"Bra004250",209,188,206,173,223,164,457,218
"Bra004251",1378,1706,1867,1233,1963,1933,4130,2050
"Bra004252",742,952,1171,309,749,1042.38,1576,474.23
"Bra004253",205,160,295,222,240,208,350,464
"Bra004254",55.58,169.73,241.48,99.18,289.03,186.88,161.63,215.22
"Bra004255",4,2,4,6,7,5,4,3
"Bra004256",163,183,253,147,336,215,397.78,293
"Bra004257",2,0,0,0,0,0,0,0
"Bra004258",0,0,0,0,0,0,0,0
"Bra004259",32,27,36,17,59,30,44,41
"Bra004260",195,228,307,172,217.77,250,573,327
"Bra004261",512,267,302,249.7,461.85,400.62,311,466.75
"Bra004262",43,35,17,7,39,42,40,41
"Bra004263",313,503,428,288,541,399,1100,441
"Bra004264",4,2,3,0,4,1,10,0
"Bra004265",0,0,0,0,0,0,0,0
"Bra004266",127,96,127,46,86,123,251,247
"Bra004267",8677,6286,11074,5202,6366,7332,17562,11193.99
"Bra004268",22,14,31,12,17,21,37,42
"Bra004269",414,406,456,333,631,508,1003,690
"Bra004270",311,279,406,253,395,325,710,507
"Bra004271",57,60,73,51,89,72,156,61
"Bra004272",78,79,131,91,131,136,186,140
"Bra004273",19.12,13,13.02,1,26,13.09,15.04,1
"Bra004274",34.78,42.78,56.39,25.03,51,49.05,94.48,69.53
"Bra004275",1055.29,762.84,1790.5,2299.99,1210.69,1084.87,1981.15,2771.53
"Bra004276",26,22,42,38,33,31,57,74
"Bra004277",0,0,0,0,0,0,0,0
"Bra004278",2,1,0,0,0,1,0,4
"Bra004279",330,366.19,493,259,445.16,334.16,827,477.2
"Bra004280",284,258,372,236,400,320,636,439.42
"Bra004281",121.6,102.59,163,84,153.33,128,316.7,191
"Bra004282",7338,2694,2387,2095,3333,5849,5801,3644
"Bra004283",105,109,110,91,166,124,257,179
"Bra004284",295,265,442,227,345,290,559,440
"Bra004285",56,16,35,17,28,40,36,49
"Bra004286",173,185,279,88,256,190,385,229
"Bra004287",3,6,5,1,3,2,6,2
"Bra004288",6,0,13,6,10,5,10,5
"Bra004289",0,0,0,1,0,0,0,0
"Bra004290",352,301,711,330,469,357,1116,772
"Bra004291",13,10,21,15,13,8,29,44
"Bra004292",439.89,503.89,699.73,479.63,669.39,692.73,1366.34,802.89
"Bra004293",88,104,123,34,166,151,255,85
"Bra004294",24,23,35,4,19,11,47,39
"Bra004295",406,514,561,403,617,605,1080,956
"Bra004296",148,128,146,89,141,124,271,152
"Bra004297",304.99,128.55,290.44,122.61,78.9,152.65,624.45,441.49
"Bra004298",30,28,23,8,26,30,46,47
"Bra004299",11,15,28,12,2,21,41,24
"Bra004300",6,11,17,4,24,13,5,9
"Bra004301",657,564,841,432,779,656,1503,816
"Bra004302",1,0,0,0,0,0,6,2
"Bra004303",23,17,20,18,25,13,61,23
"Bra004304",0,0,0,0,0,0,0,0
"Bra004305",0,0,0,0,0,0,0,0
"Bra004306",1,0,0,0,0,0,1,3
"Bra004307",0,0,0,0,1,0,1,0
"Bra004308",14,18,24,9,21,10,26,12
"Bra004309",1109,379,665,447,445,425,1625,941
"Bra004310",268,226,143,88,118,165,571,94
"Bra004311",0,0,0,0,0,0,0,0
"Bra004312",91,65,70,79,77,62,198,139
"Bra004313",250,274,377,162,352,352,642,231
"Bra004314",12,21,36,23,3,20,44,25
"Bra004315",10,8,10,8,15,6,25,7
"Bra004316",0,0,0,0,0,0,0,0
"Bra004317",0,0,1,19,0,0,0,39
"Bra004318",214,218,277,138,317,263,495,304
"Bra004319",325.68,485.81,624.99,460.64,438.81,413.02,1073.78,1385.47
"Bra004320",2204,3723,3460,688,3605.99,2785,6208,1003
"Bra004321",241,156,186,92,122,93,271,201
"Bra004322",1003,887,891,531,868,961,2225,1157
"Bra004323",728.22,912.12,1053.77,819,932.16,898.4,2074.09,1205.66
"Bra004324",146,55,99,45,99,85,140,150
"Bra004325",2525,639,846,661,844,1147,1491,614
"Bra004326",19.5,11.5,77,11.5,52,5,25.5,45
"Bra004327",19.5,11.5,77,11.5,0,5,25.5,45
"Bra004328",4,1,2,1,4,6,6,1
"Bra004329",8,30,13,15,24,26,10,27
"Bra004330",117,74,80,70,47,50,287,107
"Bra004331",25,67,51,27,94,84,72,74
"Bra004332",3658.36,1487.95,1411,1255.6,1883.13,2561.88,3350.73,3010.89
"Bra004333",27,39,108,77,84,34,85,126
"Bra004334",319.32,284.64,476,159,491.58,596.54,943.47,449
"Bra004335",1,8,17,2,2,3,11,26
"Bra004336",11,23,53,43,39,33,54,42
"Bra004337",5,2,13,2,19,17,19,10
"Bra004338",31,39,42,37,71,41,90,63
"Bra004339",599,618,941,558,664,555,1643,1131
"Bra004340",2253,1550,2320,2244,1918,1983,6171,3498
"Bra004341",0,0,0,0,0,0,0,0
"Bra004342",0,0,0,0,0,0,0,0
"Bra004343",18,1,11,5,1,1,0,3
"Bra004344",25,44,86,50,75,53,118,64
"Bra004345",1,0,1,0,1,1,1,0
"Bra004346",0,0,0,0,0,0,0,0
"Bra004347",168,117,603,360,323,132,506,629
"Bra004348",423,485,578,307,544,507,1048,636
"Bra004349",1,0,0,0,0,0,0,0
"Bra004350",8,24,18,11,36,15,30,38
"Bra004351",14,9,15,19,33,7,29,11
"Bra004352",5,13,11,4,29,16,22,24
"Bra004353",0,0,0,6,0,0,0,0
"Bra004354",120.87,129.91,132.83,60.56,172.06,150,316.96,107.85
"Bra004355",230,225,287,178,326,273,506,331
"Bra004356",40,42,72,37,110,53,63,94
"Bra004357",142,157,234,127,278,256.46,324,246.82
"Bra004358",306,107,120,108,165,198,245,193
"Bra004359",98,96,134,82,149,99,216,139
"Bra004360",19,7,25,15,17,7,52,34
"Bra004361",117,112,181,150,198,125,385,178
"Bra004362",42,41,41,44,41,46,85,35
"Bra004363",63,89,124,55,98,100,164,87
"Bra004364",445,185,601,229,939,623,1379,354
"Bra004365",159,303,326,208,415,266,728,309
"Bra004366",330,397,376,267,658,528,983,719
"Bra004367",222,231,373,157,391,267,580,377
"Bra004368",7,6,24,3,7,3,4,19
"Bra004369",1107,955,1081,669,1260,1058,1894,1193
"Bra004370",23,55,83.22,62,60.16,37,84,113
"Bra004371",4,0,1,0,2,1,2,4
"Bra004372",3,8,3,8,5,3,10,5
"Bra004373",348,149,298,186,266,243,430,345
"Bra004374",13,17,24,12,25,30,41,31
"Bra004375",369,347,521,305,534,418,958,496
"Bra004376",15,42,24,23,16,27,83,44
"Bra004377",43,155,93,24,171,139,178.24,125.99
"Bra004378",338,261,593,326,415,283,891,756
"Bra004379",1168,1312,2045,640,1292,973,2050,2139
"Bra004380",428,401.29,547,304,596.99,434,1015,621
"Bra004381",140,182,153,126,149,145,416,189
"Bra004382",499,672,966,531,959,750,1305,948
"Bra004383",133,26,166,35,51,16,10,180
"Bra004384",44,68,49,26,123,107,61,53
"Bra004385",1397,747,1233,692,345,644,2306,1664
"Bra004386",1,0,0,1,1,0,3,0
"Bra004387",447,627,752,442,865,695,1078,895
"Bra004388",1,7,23,4,12,9,11,8
"Bra004389",824.49,789.61,890.74,350.51,716.85,764.33,2035.01,734.75
"Bra004390",1833.51,1708.39,1763.26,1050.49,1131.15,1737.67,4477.99,1977.25
"Bra004391",63,59,98,74,101,71,153,103
"Bra004392",824.85,1173.95,798,425,1242,1211,1577,1050.94
"Bra004393",11,10,28,9,15,8,33,20
"Bra004394",3,7,3,0,12,3,2,5
"Bra004395",608.01,890.88,905.94,508.66,1213.53,787,1520.52,1034.09
"Bra004396",47.18,21,44,20,59.37,46.7,78,29
"Bra004397",124,162,246,102,286,200,343,292
"Bra004398",3,2,0,0,3,2,0,6
"Bra004399",573,345,457,267,359,459,551,641
"Bra004400",794.36,752,889,485,1132,741,1647.47,1072
"Bra004401",0,0,0,0,0,0,0,0
"Bra004402",26,46,15,7,76,38,80,6
"Bra004403",0,0,0,0,0,0,0,0
"Bra004404",117,119,209,95,196,116,406,177
"Bra004405",0,1,1,0,3,1,0,4
"Bra004406",130,232,238,79,260,232,352,211
"Bra004407",42,72,58,46,63,49,78,61
"Bra004408",165,145,100,75,160,157,325,154
"Bra004409",127.53,26.44,35.5,21,41.55,54.49,54.9,52.73
"Bra004410",38.29,0,0,0,0,0,0,0
"Bra004411",71,74,114,48,87,54,197,82
"Bra004412",346.71,430,584,315,613,579,1021,576
"Bra004413",527,579,610,426,784,649,1432,796
"Bra004414",172,267,338,140,259,244,551,259
"Bra004415",29,94,65,31,57,77,333,64
"Bra004416",1,1,2,0,1,0,0,1
"Bra004417",326,322,431,273,407,416,824,351
"Bra004418",695.49,686.81,686.44,503.78,842.93,677.47,1455.02,984.84
"Bra004419",178,191,275,190,193,198,416,248
"Bra004420",3487,2689,3092,2126,3832,3147,7809,4629
"Bra004421",0,2,1,0,2,2,0,0
"Bra004422",13,19,19,18,33,23,47,27
"Bra004423",20,134,167,62,169,86,103,116
"Bra004424",0,0,1,1,0,0,0,1
"Bra004425",208.72,0,47,260.72,81.16,0,400.85,362.63
"Bra004426",0,1,2,1,0,1,0,1
"Bra004427",221,206,289,162,350,258,465,335
"Bra004428",155.88,330.89,297.19,214.92,315.96,445.57,330.72,193
"Bra004429",0,0,0,0,0,0,0,0
"Bra004430",44,16,12,10,39,20,35,27
"Bra004431",210,263,290,188,325,274,553,321
"Bra004432",30,14,18,24,47,41,41,53
"Bra004433",0,0,0,0,0,0,0,0
"Bra004434",22,13,12,9,15,20,31,21
"Bra004435",1794,1500,1895,1445,928,1317,4252,3125
"Bra004436",358,258,358,277,369,348,655,360
"Bra004437",113,106,155,78,149,120,255,132
"Bra004438",301,289,270,190,371,274,602,500
"Bra004439",2,17,15,24,11,10,18,19
"Bra004440",1,0,2,0,4,0,0,0
"Bra004441",155,207,220,128,267,186,394,261
"Bra004442",1383.27,1738.24,1836,1136.14,2534.09,1631.09,3122.47,2201.17
"Bra004443",933,1035,1514,718,1227,1004,2205,1618
"Bra004444",1263,1109,1166,1068,1579,1302,2899,1504
"Bra004445",495,452,573,312,682,506,1100,654
"Bra004446",12,31,37,23,58,43,43,21
"Bra004447",20,17.4,30.48,20.61,19,17,73.97,57.78
"Bra004448",5,5,6,2,10,10,5,5
"Bra004449",773,328,697,624,560,441,1441,1885
"Bra004450",1261,1554.89,1633.92,1108,1874,1862,3351,2184
"Bra004451",285,341,321,281,560,471,733,599
"Bra004452",240,190,260,138,294,301,360,270
"Bra004453",5,8,6,8,6,8,11,10
"Bra004454",2,4,2,1,9,5,8,2
"Bra004455",857.46,637,874,721,1108,835,1729,1338
"Bra004456",10,14,11,23,30,19,34,44
"Bra004457",399,563,578,325,739,747,819,483
"Bra004458",70,103,114.83,63,125.92,67,158,112.85
"Bra004459",1585,1422,2282,1457,1711,1762,4226,2146
"Bra004460",1564,2057,2286,1900,2688,2608,5043,3332
"Bra004461",115,140,114,83,189,197,233,161
"Bra004462",11,13,7,6,17,9,23,26
"Bra004463",133,244,313,138,294,292,420,251
"Bra004464",408,480,596.5,427,683,626,1245.48,759.01
"Bra004465",200,79,60,114,150,145,214,318
"Bra004466",20,14,38,20,41,25,47,34
"Bra004467",1536,1156,1446,1207,1615,1521,4084.62,2031
"Bra004468",4,6,6,7,10,7,10,2
"Bra004469",3,1,4,3,20,11,4,8
"Bra004470",30,48,57,25,51,51,83,67
"Bra004471",196,259,301,168,296,256,486,396
"Bra004472",0,0,0,0,0,0,0,0
"Bra004473",300,148,325,144,92,193,520,423
"Bra004474",9,47,70,55,99,33,37,25
"Bra004475",834.21,902.06,1114.42,830.51,1389.83,1099.26,1869.59,1277.74
"Bra004476",1237.56,267.5,436.1,630.98,464.42,471.21,1969.36,1342.2
"Bra004477",287,182,350,395,312,165,966,543
"Bra004478",113,104,126,69,159,102,221,179
"Bra004479",195,279,345,236,392,287,598,358
"Bra004480",31407.48,10674,8793,9278,12976,21784,23255,14423
"Bra004481",133843.82,44510.46,40123.42,37417,55436.97,91907.98,103826.48,78829
"Bra004482",121,108,144,81,114,153,199,156
"Bra004483",3,2,8,4,6,1,18,7
"Bra004484",8,8,206.44,45,34,6,8,3
"Bra004485",0,0,0,0,0,0,0,0
"Bra004486",139,434,442,84,470,295,691,256
"Bra004487",0,0,2,0,0,0,0,0
"Bra004488",0,0,0,0,0,0,0,0
"Bra004489",0,0,7,2,1,2,3,8
"Bra004490",0,0,0,0,0,0,0,0
"Bra004491",724,533,631,652,839,307,415,3145
"Bra004492",0,0,0,0,0,0,0,0
"Bra004493",182,143,135,121,192,320,459,187
"Bra004494",204,152,259,172,208,199,429,293
"Bra004495",463,408,549,300,527,435,1103,535
"Bra004496",126,30,57,137,45,109,196,183
"Bra004497",158,131,176,107,165,198,295,101
"Bra004498",284,290,350,232,409,386,653,366
"Bra004499",67,95,86,85,155,76,170,114
"Bra004500",12,9,11,6,10,16,10,17
"Bra004501",117.32,176.95,201.58,82.28,248.98,222.08,311.23,175.53
"Bra004502",715.5,118.74,177.15,215.77,273.98,181.42,327.39,519.32
"Bra004503",851,279,351,298,658,573,893,590
"Bra004504",864,705,848,729,983,851,1878,928
"Bra004505",106,92,152,84,153,135,242,169
"Bra004506",298.48,270,368.4,248,406.52,310,703,418
"Bra004507",72,51,34,43,31,65,89,82
"Bra004508",97,211,168,98,279,176,178,177
"Bra004509",3,0,14,3,1,1.98,19,2
"Bra004510",8,7,6,14,8,9,18,15
"Bra004511",1,0,0,2,2,0,4,0
"Bra004512",1,0,0,0,0,0,0,0
"Bra004513",1486,1851,2078,1778,2010,2195,3907,2322
"Bra004514",256,282,264,269,311,284,542,330
"Bra004515",55,56,62,49,41,38,106,68
"Bra004516",318,506,797,333,410,333,855,832
"Bra004517",25,16,25,12,52,13,126,38
"Bra004518",36,80,114,61.31,45,40,98,61.49
"Bra004519",669,1508,1258,703,1356,1438,2095,1384
"Bra004520",31,37,47,66,66,33,97,72
"Bra004521",0,0,0,1,0,1,0,1
"Bra004522",296,318,485,276,286,248,873,628
"Bra004523",254,403,385,179,461,270,700,418
"Bra004524",33,28,53,32,36,36,62,68
"Bra004525",51,26,41,29,34,36,55,72
"Bra004526",1062,1207,1179,880,1493,1270,2798,1726
"Bra004527",635,483,670,396,349,548,2436,879
"Bra004528",138,153,234,98,188,191,309,232
"Bra004529",21,55,82,33,76,42,92,62
"Bra004530",51,39,57,24,24,40,93,95
"Bra004531",516,670,656,445,1122,722,1583,842
"Bra004532",134,92,158,79,86,91,653,214
"Bra004533",93,375,379,115,459,257,734,200
"Bra004534",128,126,191,101,149,152,265,117
"Bra004535",13,0,0,50,0,9,1,3
"Bra004536",1,1,0,0,0,1,0,0
"Bra004537",505,536,1050,550,497,448,1273,904
"Bra004538",323,298,488,317,448,362,683,449
"Bra004539",17,6,10,9,6,14,15,24
"Bra004540",13,12,22,19,32,19,12,63
"Bra004541",55,114,181,54,152,158,103,124
"Bra004542",0,0,1,0,0,0,0,1
"Bra004543",583,8.06,20.31,619.68,9.05,529,1513.71,1055.05
"Bra004544",1126,413,378,307,594,830,880,839
"Bra004545",1392,1338,1552,870,1819,1258,3748,1861
"Bra004546",217,301,351,297,576,445,524,332
"Bra004547",76,78,79,50,67,79,170,96
"Bra004548",29,6,13,16,17,21,50,38
"Bra004549",58,35,19,38,42,52,36,38
"Bra004550",258,235,408,169,362,181,343,397
"Bra004551",2832.35,1297.09,1337.46,1102.62,1784.45,2432.41,2729.39,2091.42
"Bra004552",35,39,72,30,66,29,58,64
"Bra004553",453,514,740,463,550,384,1018,679
"Bra004554",65.34,101.36,102.25,52.5,137.03,78.11,167.22,120.55
"Bra004555",638,703,762,540,1007,858,1450,767
"Bra004556",17,1,10,15,4,8,14,11
"Bra004557",0,0,0,0,0,0,0,0
"Bra004558",0,0,0,0,0,0,0,0
"Bra004559",0,0,1.02,1.02,0,0,0,1
"Bra004560",20942,5702,5265,5170,7315,13100,15357,11190
"Bra004561",76,68,94,49,96,88,169,112
"Bra004562",514,479,512,383,694,456,996,657
"Bra004563",131,115,137,118,178,134,209,112
"Bra004564",25,54,98,18,72,115,75,32
"Bra004565",6,3,2,1,2,1,0,4
"Bra004566",0,0,0,0,0,0,0,0
"Bra004567",323.3,304.74,457.07,247.84,442.91,436.03,773,478.3
"Bra004568",94,92,123,79,86,117,192,170
"Bra004569",0,0,0,0,0,0,0,0
"Bra004570",1,0,0,0,1,0,1,0
"Bra004571",2,2,2,0,1,2,5,1
"Bra004572",2,2,2,3,2,3,2,6
"Bra004573",0,2,0,3,0,2,1,0
"Bra004574",2,3,5.01,1,4,2,5,1
"Bra004575",0,0,2,0,2,0,0,0
"Bra004576",433,63,96,229,240,169,515,482
"Bra004577",2,2,1,2,1,1,7,0
"Bra004578",0,0,0,0,0,0,1,1
"Bra004579",0,0,0,0,0,0,0,0
"Bra004580",0,0,1,3,0,0,0,0
"Bra004581",105,129,132,106,215,194,291,99
"Bra004582",224,135,131,105,193,217,281,149
"Bra004583",276,588,568,297,650,530,1008,612
"Bra004584",88,140,115,53,136,132,226,133
"Bra004585",0,0,0,0,0,0,0,0
"Bra004586",34,13,9,13,15,6,62,25
"Bra004587",256,341,351,230,424,348,840,467
"Bra004588",425,304,460,416,416,378,980,771
"Bra004589",197,252,355,187,286,257,526,287
"Bra004590",950,1244,1325,756,1329,1097,2597,1434
"Bra004591",6,2,1,7,8,0,3,4
"Bra004592",83,61,149,63,210,158,216,126
"Bra004593",4,1,1,4,5,0,8,8
"Bra004594",105,77,115,105,159,92,219,166
"Bra004595",1680,529,533,487,690,1489,1395,1071
"Bra004596",285,104,112,206,267,138,757,202
"Bra004597",0,0,0,0,0,0,0,0
"Bra004598",14,15,19,6,42,22,45,23
"Bra004599",18,25,14,17,69,25,50,38
"Bra004600",1093.95,744.89,891.68,928,1144.97,870.42,2744.11,1782
"Bra004601",139,18,25,112,54,13,221,219
"Bra004602",152,220,282,147,253,215,379,239
"Bra004603",339,206,271,214,381,408,587,383
"Bra004604",36,14,22,15,21,28,43,36
"Bra004605",13,17,7,14,9,11,34,19
"Bra004606",143.3,47,43.29,55,72.3,118,38.18,68.87
"Bra004607",0,0,1,0,0,0,0,0
"Bra004608",0,1,0,0,0,0,0,2
"Bra004609",0,0,4,0,1,1,0,0
"Bra004610",2,0,0,0,0,0,0,0
"Bra004611",0,4,1,1,1,1,1,3
"Bra004612",49,260,164,125,276,94,67,244
"Bra004613",1,0,2,0,4,0,1,2
"Bra004614",48,59,96,45,95,54,136,99
"Bra004615",0,8,6,2,9,5,3,6
"Bra004616",0,0,0,0,0,0,0,0
"Bra004617",15,16,18,9,23,17,32,9
"Bra004618",1,1,6,4,6,6,21,4
"Bra004619",0,0,0,0,0,0,0,0
"Bra004620",1068,1300,1791,1193,1488,1522,2887,2264
"Bra004621",134,149,146,184,200,259,470,208
"Bra004622",52,93,67,55,70,113,177,129
"Bra004623",106,90,185,123,147,115,218,201
"Bra004624",177,182,284,243,261,336,561,407
"Bra004625",94,103,108,89,167,111,224,179
"Bra004626",182,229,205,117,304,230,529,358
"Bra004627",282.18,415,506,215.42,407,451,1391.44,859.91
"Bra004628",193.25,292.37,311.63,111.49,233.19,340.37,892.3,634.72
"Bra004629",1,1,0,1,0,5,2,0
"Bra004630",1990,779,761,620,1100,1713,1886,1591
"Bra004631",162,234,174,207,322,217,577,175
"Bra004632",23,32.5,32,21,38.5,39.5,69.5,21
"Bra004633",371,1191,1059,496,762,954,976,745
"Bra004634",0,0,0,0,0,0,0,0
"Bra004635",0,0,0,0,0,0,0,0
"Bra004637",2,3,2,0.5,1,1,4.5,5
"Bra004638",48,45,58,25,51,35,111,38
"Bra004639",373.44,361,405.37,296.36,493.45,559.43,919.79,485.85
"Bra004640",5,0,1,3,3,2,8,2
"Bra004641",117,134,173,74.01,177,165,252,149
"Bra004642",201,180,203,205,240,217,552,339
"Bra004643",0,0,0,0,0,0,0,0
"Bra004644",1,79,43,36,48,4,5,20
"Bra004645",12,66,76,63,85,29,43,61
"Bra004646",1275.14,1254.98,1256.41,999.97,1599.59,1601.23,2668.89,1666.25
"Bra004647",45,78,101,54,113,89,108,85
"Bra004648",133,97,109,136,172,131,361.1,247
"Bra004649",1871,1762.75,1770.83,1513.75,2277.74,2001.9,5306.98,3181.08
"Bra004650",1,0,0,0,0,0,1,4
"Bra004651",1,0,1,1,2,1,1,3
"Bra004652",81.65,138.05,146.22,97.25,259.92,159.05,136.41,167.51
"Bra004653",58,40,64,37,70,44,124,74
"Bra004654",915.42,1112.02,1297.14,695.86,1912.92,1177.1,2466.54,1436.23
"Bra004655",96,7,14,11,0,3,76,136
"Bra004656",4284,1444.94,1274,1136,2185.94,3467.94,3324,2530
"Bra004657",16,25,80,51,50,37,64,50
"Bra004658",331,121,97,115,164,182,252,134
"Bra004659",1,3,2,3,4,3,1,1
"Bra004660",131,105,134,75,221,125,254,240
"Bra004661",117,101,107,70,144,123,265,159
"Bra004662",600,495,697,489,767,682,1504,938.58
"Bra004663",481,485,521,318,647,527,1099,653.42
"Bra004664",0,19,0,0,43,17,0,0
"Bra004665",133.81,39,40,40,42,79,91,49
"Bra004666",131,162,224,98,203,147,269,179
"Bra004667",3,4,12,1.01,3,4,4,2
"Bra004668",134,125,182,99,167,146,324,178
"Bra004669",21,26,27,20,26,24,30,30
"Bra004670",6,6,7,8,10,7,15,16
"Bra004671",505,397,424,303,517,347,672,481
"Bra004672",8,50,23,2,26,21,36,20
"Bra004673",129,69,126,79,94,87,228,113
"Bra004674",130,299,333,166,402,277,375,283
"Bra004675",468.66,100,169,184,396,371,1274.05,403
"Bra004676",144,183,217,122,248,198,284,173
"Bra004677",21,45,42,24,63,53,65,65
"Bra004678",41,44,68,37,46,47,154,97
"Bra004679",314,234,246,237,259,312,791,451
"Bra004680",148,226,278,161,299,298,521,276
"Bra004681",15,9,14,10,15,19,29,12
"Bra004682",1,0,1,2,1,2,5,4
"Bra004683",113,115,126,77,110,123,248,128
"Bra004684",0,1,2,2,0,3,1,0
"Bra004685",0,0,0,0,0,0,0,0
"Bra004686",0,0,0,0,0,0,0,1
"Bra004687",9,12,32,10,25,24,27,18
"Bra004688",5,7,18,14,7,13,17,14
"Bra004689",732,169,163,188,419,332,452,343
"Bra004690",27,46,50,27,32,33,60,43
"Bra004691",187,230,235,148,308,282,486,309
"Bra004692",10,12,13,8,12,12,17,8
"Bra004693",0,6,5,1,4,4,25,7
"Bra004694",137,122,121,103,121,146,241,207
"Bra004695",0,1,1,0,1,1,0,1
"Bra004696",0,0,1,0,1,0,1,0
"Bra004697",0,0,0,0,0,0,0,0
"Bra004698",0,0,0,0,0,0,0,0
"Bra004699",0,1,0,0,0,0,0,0
"Bra004700",0,0,0,0,0,0,0,0
"Bra004701",0,0,0,0,0,0,0,0
"Bra004702",0,0,0,0,0,0,0,0
"Bra004703",8,2,2,2,6,1,8,10
"Bra004704",0,0,1,0,0,0,0,0
"Bra004705",533.31,449.85,635.84,347.22,702.28,523.56,1150.16,732.22
"Bra004706",155,124,143,100,153,133,298,205
"Bra004707",0,0,0,0,0,0,0,0
"Bra004708",273,589,546,412,981,549,806,1019
"Bra004709",67,93,88,61,149,73,227,155
"Bra004710",972.46,987.15,1444.37,928.8,1152.3,1072.81,3415.4,1536.85
"Bra004711",0,0,1,0,0,2,3,1
"Bra004712",9,25,10,13,13,17,22,18
"Bra004713",79,92,140,69,155,107,231,195
"Bra004714",0,1,7,1,2,0,1,4
"Bra004715",1604,2446,2044,1254,4460,2671,3978,3159
"Bra004716",876,697,1277,473,1386,1275,1913,1260
"Bra004717",13,20,37,10,32,18,56,31
"Bra004718",379.9,600.02,738.73,349,715.54,680.92,1427.46,732.58
"Bra004719",49,111,71,73,244,119,166,147
"Bra004720",420,865,1175,473,539,849,2041,950
"Bra004721",1358,1176,1147,696,1189,1153,2702,1509
"Bra004722",174,234,254,155,406,192,462,275
"Bra004723",369,357,381,304,513,392,907,616
"Bra004724",0,0,0,0,0,0,0,0
"Bra004725",750,848,1047,668,989,1019,2084,1187
"Bra004726",101,78,84,93,105,115,317,179
"Bra004727",4884,1771,1798,1608,2007.65,3123.88,4487,3108.93
"Bra004728",1490,1211,1316,845,1230,1400,3436,1887
"Bra004729",22,32,50,14,27,26,24,14
"Bra004730",180,245.27,329.07,141.72,311.02,197.17,583,288
"Bra004731",59,119,106,53,80,86,101,32
"Bra004732",22,11,13,12,6,22,47,42
"Bra004733",97,115,126,68,123,114,287,150
"Bra004734",325,181,349,151,8,168,978,513
"Bra004735",30,85,104,45,83,103,63,1
"Bra004736",1,4,20,5,4,1,4,2
"Bra004737",960,771.18,860.93,552,981.52,1208.55,2150,1187
"Bra004738",96,97.44,121.86,89.41,146.38,129.4,211,159
"Bra004739",200,185,139,243,406,460,828.28,161
"Bra004740",393,390,404,310,507,508,894,493
